node.uuid,node.estimated_first,node.estimated_last
42ca9a92-b574-d9a3-1973-de17d89c89d7,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
ec84da21-125b-6ee8-19dd-973fdfd89956,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
329b7cb6-56ac-98cc-5029-e77901c429a5,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
36b1a84e-086e-9e14-32d5-720ff51fef75,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
c212a817-9182-327b-cc31-a42dd9272654,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
3dae514c-b182-4e18-5807-c9172f508e8a,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
fdd63875-8292-256c-31d0-2949df3763a0,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
9157e009-f6b1-8eb9-70f3-175330594131,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
d3ecb146-e0d6-6a73-2aa1-6981bbe3199f,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
63458a33-ff52-890d-63fc-59baa323952e,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
d8b55976-5b13-017b-3f02-e608e518a29e,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
ca9a6908-2508-9d83-4b37-dcada6bf8695,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
4906f9de-84d2-057a-83b4-76e59b3e4dc3,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
03aeb89a-9d5e-0568-86cc-1b9e823b1480,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
483d57b9-6a0d-6399-9eb2-a4fa0fb6a8dd,29/03/2021 01:57:32.260505600.0,30/03/2021 00:33:18.26437632.0
